,index_x,Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,index_y,Classification
0,0,176.9.40.135-192.168.43.129-444-58058-6,192.168.43.129,58058,176.9.40.135,444,6,19/08/2020 10:41:31 AM,0,BENIGN
1,1,176.9.40.135-192.168.43.129-444-58058-6,192.168.43.129,58058,176.9.40.135,444,6,19/08/2020 10:41:33 AM,1,BENIGN
2,2,192.168.43.129-69.31.136.5-58057-443-6,192.168.43.129,58057,69.31.136.5,443,6,19/08/2020 10:41:31 AM,2,BENIGN
3,3,176.9.40.135-192.168.43.129-444-58060-6,192.168.43.129,58060,176.9.40.135,444,6,19/08/2020 10:41:34 AM,3,BENIGN
4,4,176.9.40.135-192.168.43.129-444-58060-6,192.168.43.129,58060,176.9.40.135,444,6,19/08/2020 10:41:35 AM,4,BENIGN
5,5,192.168.43.129-69.31.136.5-58059-443-6,192.168.43.129,58059,69.31.136.5,443,6,19/08/2020 10:41:33 AM,5,BENIGN
6,6,176.9.40.135-192.168.43.129-444-58062-6,192.168.43.129,58062,176.9.40.135,444,6,19/08/2020 10:41:35 AM,6,BENIGN
7,7,192.168.43.129-69.31.136.5-58061-443-6,192.168.43.129,58061,69.31.136.5,443,6,19/08/2020 10:41:35 AM,7,BENIGN
8,8,176.9.40.135-192.168.43.129-444-58066-6,192.168.43.129,58066,176.9.40.135,444,6,19/08/2020 10:41:38 AM,8,BENIGN
9,9,176.9.40.135-192.168.43.129-444-58066-6,192.168.43.129,58066,176.9.40.135,444,6,19/08/2020 10:41:39 AM,9,BENIGN
10,10,192.168.43.129-69.31.136.5-58065-443-6,192.168.43.129,58065,69.31.136.5,443,6,19/08/2020 10:41:37 AM,10,BENIGN
11,11,176.9.40.135-192.168.43.129-444-58064-6,192.168.43.129,58064,176.9.40.135,444,6,19/08/2020 10:41:37 AM,11,BENIGN
12,12,192.168.43.129-34.98.91.248-58063-443-6,192.168.43.129,58063,34.98.91.248,443,6,19/08/2020 10:41:37 AM,12,BENIGN
13,13,176.9.40.135-192.168.43.129-444-58069-6,192.168.43.129,58069,176.9.40.135,444,6,19/08/2020 10:41:39 AM,13,BENIGN
14,14,176.9.40.135-192.168.43.129-444-58056-6,192.168.43.129,58056,176.9.40.135,444,6,19/08/2020 10:41:30 AM,14,BENIGN
15,15,176.9.40.135-192.168.43.129-444-58069-6,192.168.43.129,58069,176.9.40.135,444,6,19/08/2020 10:41:41 AM,15,BENIGN
16,16,192.168.43.129-69.31.136.5-58067-443-6,192.168.43.129,58067,69.31.136.5,443,6,19/08/2020 10:41:39 AM,16,BENIGN
17,17,176.9.40.135-192.168.43.129-444-58056-6,192.168.43.129,58056,176.9.40.135,444,6,19/08/2020 10:41:41 AM,17,BENIGN
18,18,192.168.43.129-31.13.92.10-58055-443-6,192.168.43.129,58055,31.13.92.10,443,6,19/08/2020 10:41:30 AM,18,BENIGN
19,19,192.168.43.129-193.56.28.226-58072-80-6,192.168.43.129,58072,193.56.28.226,80,6,19/08/2020 10:41:42 AM,19,BENIGN
20,20,176.9.40.135-192.168.43.129-444-58073-6,192.168.43.129,58073,176.9.40.135,444,6,19/08/2020 10:41:42 AM,20,BENIGN
21,21,192.168.43.129-193.56.28.226-58072-80-6,192.168.43.129,58072,193.56.28.226,80,6,19/08/2020 10:41:43 AM,21,BENIGN
22,22,176.9.40.135-192.168.43.129-444-58073-6,176.9.40.135,444,192.168.43.129,58073,6,19/08/2020 10:41:43 AM,22,BENIGN
23,23,176.9.40.135-192.168.43.129-444-58071-6,192.168.43.129,58071,176.9.40.135,444,6,19/08/2020 10:41:41 AM,23,BENIGN
24,24,192.168.43.129-69.31.136.5-58070-443-6,192.168.43.129,58070,69.31.136.5,443,6,19/08/2020 10:41:41 AM,24,BENIGN
25,25,176.9.40.135-192.168.43.129-444-58075-6,192.168.43.129,58075,176.9.40.135,444,6,19/08/2020 10:41:42 AM,25,BENIGN
26,26,192.168.43.129-35.227.224.91-58074-443-6,192.168.43.129,58074,35.227.224.91,443,6,19/08/2020 10:41:42 AM,26,BENIGN
27,27,176.9.40.135-192.168.43.129-444-58077-6,192.168.43.129,58077,176.9.40.135,444,6,19/08/2020 10:41:43 AM,27,BENIGN
28,28,176.9.40.135-192.168.43.129-444-58077-6,192.168.43.129,58077,176.9.40.135,444,6,19/08/2020 10:41:44 AM,28,BENIGN
29,29,192.168.43.129-46.28.207.158-58076-443-6,192.168.43.129,58076,46.28.207.158,443,6,19/08/2020 10:41:43 AM,29,BENIGN
30,30,192.168.43.129-46.28.207.158-58076-443-6,46.28.207.158,443,192.168.43.129,58076,6,19/08/2020 10:41:44 AM,30,BENIGN
31,31,151.139.128.8-192.168.43.129-443-58003-6,151.139.128.8,443,192.168.43.129,58003,6,19/08/2020 10:41:44 AM,31,BENIGN
32,32,176.9.40.135-192.168.43.129-444-58079-6,192.168.43.129,58079,176.9.40.135,444,6,19/08/2020 10:41:43 AM,32,BENIGN
33,33,176.9.40.135-192.168.43.129-444-58079-6,192.168.43.129,58079,176.9.40.135,444,6,19/08/2020 10:41:45 AM,33,BENIGN
34,34,192.168.43.129-69.31.136.5-58078-443-6,192.168.43.129,58078,69.31.136.5,443,6,19/08/2020 10:41:43 AM,34,BENIGN
